ARG,AUS,BRA,GBR,CAN,CHL,CHN,CZE,DNK,EUR,HKG,HUN,IDN,JPN,MYS,MEX,NZL,POL,RUS,SIN,ZAF,KOR,SWE,CHE,ROC,THA,USA
3.8799076212471,4.61986425,5.2848303349261,4.0200705,5.2604042806183,3.9358069880253,2.6083696059732,3.4905959529897,4.9132848326035,4.6593914807375,2.191667794731,3.7643021596589,2.8037129954842,3.1966435242995,2.2952365980192,2.8590967572434,4.299075,2.7336205615807,2.641253958086,3.6871420726445,2.2394187464232,3.4340054591882,6.1568737700309,6.7190407277238,2.6308340409944,2.845723421263,4.5566666666667
3.0341340075853,4.4735425,5.2474556187977,4.6267965,5.0131209845263,3.6903773410831,2.7432122023367,3.4732150780426,5.1804995092158,4.9618435364037,2.3202304762273,3.8548246155653,2.3014003294893,2.9737637296753,2.2265683767113,2.7751214115618,4.571875,2.9983053056968,2.6223325500711,3.596981663213,2.1603930996125,3.4666916518317,6.2875107173478,7.1424646997418,2.619276549186,2.9201520912548,4.6241666666667
2.5707727620505,4.814145,5.8551964868821,4.925138,5.2511521809972,3.7224802354026,2.7265540551442,3.4555148447348,5.145518884957,4.9535424711894,2.4256656065132,3.7668718078773,2.4284224250326,3.6442430808628,2.4088397790055,3.2476193790088,4.94475,2.9953767011786,2.554736668365,3.7964458804523,2.3301155547102,4.004884004884,5.9537741369222,6.8262411347518,2.6349142819025,3.1151667715544,4.795
3.2520325203252,4.318705,5.2068267283772,4.368235,4.6396158072525,3.3466935464593,2.7690573935442,2.9192089751691,5.3760089755976,4.263832,2.4253839653738,3.1688310826956,2.2387019230769,3.1418502950792,2.1103581800581,3.3498547256879,4.492555,2.4820590298387,1.3644656353964,3.5254847541537,2.2214962430578,3.7847318379027,4.9685953036398,7.5436662217838,2.5084939510367,3.0363441190002,4.79
3.0651340996169,3.922265,4.2825193902961,4.512446,4.5359385903699,3.2687368666822,2.7378728338594,2.833749962048,5.0785121236814,4.053905,2.4771636476235,3.1815858296409,2.2855858218742,2.9854359139872,2.009720215421,3.1131371209835,3.909635,2.5439898240407,1.883305465106,3.4396955503513,2.0943167492982,3.7603847835592,5.1275131561193,6.8219983207389,2.5467440361057,3.1683168316832,4.79
2.3897025544472,3.743655,3.3542039355993,4.2218565,4.1441952881067,2.9361800297813,2.6836632002684,2.9827952370726,4.3224551545278,3.999,2.4766683650764,3.075040731477,2.1867718229073,3.1185469257027,1.8212862834377,2.8101567092491,3.91229,2.3717172715369,1.5270243118344,3.2701339363368,1.7706110188918,3.5900647046546,5.2314327731825,6.4432989690722,2.0763432285633,3.0922142462728,4.93
3.3478406427854,4.3047375,4.7818106094495,3.940222,4.6047582501919,3.5323749846418,2.785265049416,3.0554191933286,4.4397416070385,4.205629,2.4756943549011,3.1508225222194,2.3641563393708,3.4668540641836,1.9865905140303,2.3738872403561,4.2213,2.4207885214278,2.0502290342396,4.0141415629373,2.1017602241878,3.8564354266182,5.2287125429763,6.5916235675895,2.1542976677386,3.4034034034034,5.04
3.4683903515687,4.27518,5.1179453775648,3.728394,4.5098039215686,3.6414711543464,2.8296711229174,2.9056534330295,4.2246083436015,4.061778,2.4755187952475,3.0548114638249,2.325755870658,3.2571893884198,1.7891088001789,2.2322953919045,4.1853,2.300971920952,2.1509824198552,3.892267593397,1.886400286687,3.6775460738017,5.2605333961675,6.3501367721766,2.1626704278326,3.345233744694,5.06
4.1255341093267,4.527955,5.1015675725814,4.1114315,4.6556967948218,3.8440955446179,2.9171270718232,3.2813997138619,4.6064905451782,4.4650245,2.4579146130705,3.2089475284962,2.402932046823,3.3610472315585,2.0030278327705,2.7542402653064,4.43226,2.723399665642,2.2781353877569,4.0647455904769,2.2607385079126,3.8439697724195,5.8189207013124,6.7416895711248,2.2639652202444,3.4962466763621,5.3
3.960396039604,4.706135,5.1116825180458,4.413046,5.2572437595313,4.2908892868047,3.1716417910448,3.807779437991,4.9320203199237,4.8357875,2.6218186468858,3.4266385053035,2.6760985103675,3.4319259426507,2.2761760242792,2.5718648699333,4.51019,2.9655729281362,2.290950744559,4.3854674681487,2.4473513539971,4.1150339022679,6.1231106898788,6.7648436280377,2.3347883463608,3.7245696400626,5.28
2.7051397655545,4.5154175,4.4029335521774,4.231535,5.0672457804701,4.0507572154113,3.0957414678345,3.3990867786855,4.717648723876,4.735082,2.5483388016437,3.074917284725,2.1935933147632,3.5056179775281,2.1006836544437,2.5719759598982,4.23398,2.7393916380748,2.0920283260635,4.2777593391599,2.3200293371452,4.0322580645161,5.8268400246784,6.54417316889,2.2717919170302,3.5875791377751,5.51
2.0024028834601,4.352045,4.5455156739601,4.072992,5.0848730659456,3.8881279547563,3.0512285209571,3.8096689397691,4.6044402151808,4.6419075,2.5528601607025,3.0328033360837,2.3420865862314,3.5964588712652,2.1979356405586,2.5377095876222,4.1912,2.8011578118956,1.6520956736897,4.2776015930378,2.2354425815756,4.0228857500447,5.8385964912281,6.6215046095859,2.240041554394,3.7178786221979,5.58
